,ID,Score,Program
175,KUCAT_2019_892(See endnotes),608,civil
176,KUCAT_2019_90,659,arch
177,KUCAT_2019_91,516,civil
178,KUCAT_2019_92,896,power
179,KUCAT_2019_93,743,ce
180,KUCAT_2019_94,944,civil
181,KUCAT_2019_95,779,civil
182,KUCAT_2019_96,700,ce
183,KUCAT_2019_97,1162,ce
184,KUCAT_2019_98,578,arch
185,KUCAT_2019_99,528,design
186,KUCAT_2019_100,413,geo
187,KUCAT_2019_101,617,civil
188,KUCAT_2019_102,875,ce
189,KUCAT_2019_103,556,ce
190,KUCAT_2019_104,678,envs
191,KUCAT_2019_105,895,pharma
192,KUCAT_2019_106,772,civil
193,KUCAT_2019_107,932,auto
194,KUCAT_2019_108,949,civil
195,KUCAT_2019_109,787,ce
196,KUCAT_2019_110,788,civil
197,KUCAT_2019_111,381,pharma
198,KUCAT_2019_112,576,pharma
199,KUCAT_2019_113,695,civil
200,KUCAT_2019_114,677,pharma
201,KUCAT_2019_115,1055,civil
202,KUCAT_2019_116,1247,design
203,KUCAT_2019_117,683,arch
204,KUCAT_2019_118,907,design
205,KUCAT_2019_119,913,civil
206,KUCAT_2019_120,804,pharma
207,KUCAT_2019_121,714,civil
208,KUCAT_2019_122,904,ce
209,KUCAT_2019_123,758,civil
210,KUCAT_2019_124,821,ce
211,KUCAT_2019_125,831,auto
212,KUCAT_2019_126,581,ce
213,KUCAT_2019_127,659,pharma
214,KUCAT_2019_128,580,pharma
215,KUCAT_2019_129,1019,ce
216,KUCAT_2019_130,391,arch
217,KUCAT_2019_131,641,auto
218,KUCAT_2019_88,1053,communication
219,KUCAT_2019_892(See endnotes),608,civil
220,KUCAT_2019_90,659,arch
221,KUCAT_2019_91,516,civil
222,KUCAT_2019_92,896,power
223,KUCAT_2019_93,743,ce
224,KUCAT_2019_94,944,civil
225,KUCAT_2019_95,779,civil
226,KUCAT_2019_96,700,ce
227,KUCAT_2019_97,1162,ce
228,KUCAT_2019_98,578,arch
229,KUCAT_2019_99,528,design
230,KUCAT_2019_100,413,geo
231,KUCAT_2019_101,617,civil
232,KUCAT_2019_102,875,ce
233,KUCAT_2019_103,556,ce
234,KUCAT_2019_104,678,envs
235,KUCAT_2019_105,895,pharma
236,KUCAT_2019_106,772,civil
237,KUCAT_2019_107,932,auto
238,KUCAT_2019_108,949,civil
239,KUCAT_2019_109,787,ce
240,KUCAT_2019_110,788,civil
241,KUCAT_2019_111,381,pharma
242,KUCAT_2019_112,576,pharma
243,KUCAT_2019_113,695,civil
244,KUCAT_2019_114,677,pharma
245,KUCAT_2019_115,1055,civil
246,KUCAT_2019_116,1247,design
247,KUCAT_2019_117,683,arch
248,KUCAT_2019_118,907,design
249,KUCAT_2019_119,913,civil
250,KUCAT_2019_120,804,pharma
251,KUCAT_2019_121,714,civil
252,KUCAT_2019_122,904,ce
253,KUCAT_2019_123,758,civil
254,KUCAT_2019_124,821,ce
255,KUCAT_2019_125,831,auto
256,KUCAT_2019_126,581,ce
257,KUCAT_2019_127,659,pharma
258,KUCAT_2019_128,580,pharma
259,KUCAT_2019_129,1019,ce
260,KUCAT_2019_130,391,arch
261,KUCAT_2019_131,641,auto
262,KUCAT_2019_132,508,pharma
263,KUCAT_2019_133,868,design
264,KUCAT_2019_134,272,civil
265,KUCAT_2019_135,1046,design
266,KUCAT_2019_136,0,arch
267,KUCAT_2019_137,788,arch
268,KUCAT_2019_138,1055,ce
269,KUCAT_2019_139,547,pharma
270,KUCAT_2019_140,761,ce
271,KUCAT_2019_141,613,pharma
272,KUCAT_2019_142,666,ce
273,KUCAT_2019_143,593,power
274,KUCAT_2019_144,618,civil
275,KUCAT_2019_145,764,arch
276,KUCAT_2019_146,843,pharma
277,KUCAT_2019_147,790,civil
278,KUCAT_2019_148,1075,arch
279,KUCAT_2019_149,813,civil
280,KUCAT_2019_150,1050,civil
281,KUCAT_2019_151,596,ce
282,KUCAT_2019_152,1045,ce
